id,date,brand,serie,model,year,fuel,transmission,km,type,hp,cc,traction,color,guarantee,Nation,from_whome,change,status,price,city,county,neighborhood
780905757,17 ocak 2020,ford,focus,1.5 tdci titanium,2016,dizel,yarı otomatik,68.000,sedan,120,1499,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,130.500,İstanbul,Bağcılar,Göztepe Mh.
780880478,17 ocak 2020,ford,focus,1.5 tdci trend x,2018,dizel,otomatik,73.500,sedan,120,1500,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,132.000,İstanbul,Sancaktepe,Osmangazi Mah.
780515573,16 ocak 2020,ford,focus,1.6 tdci trend x,2014,dizel,manuel,159.979,sedan,95,1560,önden çekiş,gri,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,82.750,İstanbul,Pendik,Kaynarca Mah.
780336498,15 ocak 2020,ford,focus,1.6 tdci trend x,2017,dizel,manuel,63.000,sedan,95,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,115.000,Bitlis,Güroymak,Barış Mh.
779351242,13 ocak 2020,ford,focus,1.6 tdci trend x,2014,dizel,manuel,164.500,station wagon,95,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,99.999,Zonguldak,Ereğli,Kepez Mah.
778174941,10 ocak 2020,ford,focus,1.5 tdci trend x,2016,dizel,yarı otomatik,97.954,sedan,120,1499,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,121.000,İzmir,Gaziemir,Dokuz Eylül Mh.
778122093,10 ocak 2020,ford,focus,1.6 comfort,2011,benzin,manuel,61.000,sedan,100,1596,önden çekiş,füme,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,72.000,Sakarya,Akyazı,Fatih Mah.
777677009,09 ocak 2020,ford,focus,1.6 tdci ghia,2007,dizel,manuel,280.000,sedan,110,1560,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,45.700,Nevşehir,Merkez,15 Temmuz Mh.
777018863,07 ocak 2020,ford,focus,1.6 ti-vct collection,2010,benzin & lpg,manuel,114.500,sedan,115,1596,önden çekiş,füme,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,66.900,Tokat,Merkez,Yeniyurt Mah.
776987798,07 ocak 2020,ford,focus,1.6 ti-vct style,2013,benzin & lpg,yarı otomatik,122.550,sedan,125,1596,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,77.900,Mersin,Yenişehir,Barbaros Mah.
